3053407, Animalia, Arthropoda
4025, Plantae, Magnoliophyta
66201, Plantae, Magnoliophyta
66214, Plantae, Magnoliophyta
4026, Plantae, Magnoliophyta
45314, Plantae, Magnoliophyta
4024, Plantae, Magnoliophyta
75745, Plantae, Magnoliophyta
57652, Plantae, Magnoliophyta
1442373, Animalia, Mollusca
188992, Plantae, Angiosperms
4768, Protista, Oomycota
169206, Plantae, Angiosperms
4766, Protista, Oomycota
262805, Animalia, Arthropoda
354749, Animalia, Arthropoda
75334, Animalia, Chordata
229769, Animalia, Arthropoda
6997, Animalia, Arthropoda
61895, Animalia, Arthropoda
378752, Animalia, Arthropoda
4767, Protista, Oomycota
253938, Animalia, Chordata
80791, Animalia, Chordata
572522, Animalia, Chordata
13329, Plantae, Angiosperms
236538, Animalia, Chordata
691692, Animalia, Arthropoda
112802, Animalia, Arthropoda
63345, Other, Other
48024, Plantae, Angiosperms
27689, Animalia, Chordata
7907, Animalia, Chordata
78691, Animalia, Cnidaria
3018, Protista, Stramenopiles
62061, Animalia, Chordata
41871, Animalia, Chordata
7902, Animalia, Chordata
32536, Animalia, Chordata
7908, Animalia, Chordata
61966, Animalia, Chordata
42330, Animalia, Chordata
61967, Animalia, Chordata
36177, Animalia, Chordata
342762, Animalia, Arthropoda
61968, Animalia, Chordata
7906, Animalia, Chordata
111304, Animalia, Chordata
61970, Animalia, Chordata
107768, Animalia, Arthropoda
7903, Animalia, Chordata
61674, Animalia, Chordata
7904, Animalia, Chordata
121830, Other, Other
328639, Animalia, Chordata
714756, Animalia, Arthropoda
100151, Plantae, Angiosperms
119162, Other, Other
217838, Plantae, Angiosperms
263995, Plantae, Angiosperms
1086103, Animalia, Arthropoda
10068, Animalia, Chordata
219331, Animalia, Arthropoda
4465, Plantae, Angiosperms
85363, Plantae, Angiosperms
662772, Plantae, Angiosperms
980951, Animalia, Chordata
55184, Plantae, Angiosperms
60745, Animalia, Chordata
764543, Animalia, Chordata
753144, Animalia, Chordata
156899, Animalia, Chordata
83528, Animalia, Chordata
112591, Plantae, Angiosperms
156900, Animalia, Chordata
156902, Animalia, Chordata
83527, Animalia, Chordata
980958, Animalia, Chordata
60746, Animalia, Chordata
357125, Animalia, Chordata
37436, Animalia, Chordata
292681, Plantae, Angiosperms
43715, Plantae, Angiosperms
169987, Plantae, Angiosperms
140238, Animalia, Cnidaria
39621, Animalia, Chordata
57686, Animalia, Arthropoda
73033, Plantae, Algae
29594, Plantae, Ferns
126873, Animalia, Chordata
219317, Animalia, Arthropoda
6130, Animalia, Cnidaria
244713, Animalia, Arthropoda
451382, Other, Other
214017, Animalia, Arthropoda
70779, Animalia, Cnidaria
34495, Animalia, Cnidaria
51850, Animalia, Chordata
103372, Animalia, Arthropoda
749675, Other, Other
356809, Animalia, Chordata
126732, Animalia, Cnidaria
46287, Animalia, Chordata
244443, Animalia, Arthropoda
46687, Animalia, Cnidaria
39267, Animalia, Chordata
223805, Animalia, Chordata
227548, Animalia, Arthropoda
154029, Animalia, Cnidaria
51851, Animalia, Chordata
435338, Animalia, Chordata
45264, Animalia, Cnidaria
70778, Animalia, Cnidaria
161545, Animalia, Chordata
68483, Animalia, Chordata
68471, Animalia, Chordata
76593, Animalia, Chordata
6131, Animalia, Cnidaria
127871, Animalia, Cnidaria
2593634, Animalia, Chordata
190720, Animalia, Chordata
676058, Animalia, Cnidaria
43695, Protista, Amoebozoa
48156, Animalia, Chordata
932719, Plantae, Algae
2046025, Other, Other
68485, Animalia, Chordata
713687, Animalia, Arthropoda
2546662, Animalia, Arthropoda
207112, Animalia, Arthropoda
70783, Animalia, Cnidaria
392910, Animalia, Chordata
55976, Animalia, Cnidaria
8992, Animalia, Chordata
227550, Animalia, Arthropoda
2546656, Animalia, Arthropoda
118783, Animalia, Chordata
64478, Plantae, Angiosperms
1078900, Animalia, Cnidaria
1590841, Plantae, Angiosperms
3625, Plantae, Angiosperms
199376, Plantae, Magnoliophyta
3627, Plantae, Angiosperms
571810, Animalia, Echinodermata
6106, Animalia, Cnidaria
165200, Plantae, Angiosperms
396334, Animalia, Cnidaria
160769, Plantae, Angiosperms
320702, Animalia, Chordata
63976, Animalia, Arthropoda
190659, Animalia, Chordata
335395, Animalia, Chordata
64040, Plantae, Angiosperms
571813, Animalia, Echinodermata
6105, Animalia, Cnidaria
227975, Animalia, Arthropoda
232576, Animalia, Arthropoda
863974, Animalia, Chordata
2072973, Animalia, Chordata
34664, Animalia, Arthropoda
7030, Animalia, Arthropoda
7029, Animalia, Arthropoda
559140, Animalia, Arthropoda
361139, Protista, Amoebozoa
7084, Animalia, Arthropoda
115343, Animalia, Arthropoda
69109, Plantae, Angiosperms
69110, Plantae, Angiosperms
69111, Plantae, Angiosperms
176095, Animalia, Cnidaria
69114, Plantae, Angiosperms
69116, Plantae, Angiosperms
59515, Animalia, Chordata
419077, Animalia, Arthropoda
462377, Plantae, Angiosperms
479879, Animalia, Chordata
311011, Animalia, Arthropoda
574363, Animalia, Arthropoda
133065, Animalia, Arthropoda
56633, Plantae, Angiosperms
140993, Plantae, Angiosperms
237833, Plantae, Angiosperms
41468, Plantae, Angiosperms
326184, Animalia, Chordata
185462, Plantae, Ferns
104308, Plantae, Angiosperms
236346, Animalia, Arthropoda
133063, Animalia, Arthropoda
1349687, Animalia, Chordata
304594, Animalia, Chordata
69375, Plantae, Angiosperms
54927, Plantae, Angiosperms
3811, Plantae, Angiosperms
749403, Animalia, Arthropoda
185464, Plantae, Ferns
185465, Plantae, Ferns
428835, Animalia, Mollusca
16929, Plantae, Angiosperms
185467, Plantae, Ferns
357502, Animalia, Arthropoda
76949, Plantae, Angiosperms
419083, Animalia, Arthropoda
219186, Plantae, Angiosperms
325918, Animalia, Arthropoda
38043, Animalia, Arthropoda
13818, Plantae, Pteridophyta
1418983, Animalia, Mollusca
433695, Animalia, Tardigrada
1418984, Animalia, Mollusca
451080, Plantae, Pteridophyta
29590, Plantae, Pteridophyta
32168, Plantae, Pteridophyta
249248, Animalia, Tardigrada
104782, Animalia, Tardigrada
73670, Plantae, Angiosperms
85585, Animalia, Arthropoda
4208, Plantae, Angiosperms
480707, Animalia, Arthropoda
46985, Plantae, Angiosperms
190660, Animalia, Chordata
57236, Animalia, Chordata
7159, Animalia, Arthropoda
7160, Animalia, Arthropoda
120872, Animalia, Arthropoda
658031, Animalia, Arthropoda
299627, Animalia, Arthropoda
140438, Animalia, Arthropoda
1579483, Animalia, Arthropoda
299629, Animalia, Arthropoda
1424567, Animalia, Arthropoda
1579489, Animalia, Arthropoda
188700, Animalia, Arthropoda
316597, Animalia, Arthropoda
299628, Animalia, Arthropoda
55967, Animalia, Arthropoda
7163, Animalia, Arthropoda
317808, Animalia, Arthropoda
69821, Animalia, Arthropoda
56265, Animalia, Chordata
172761, Animalia, Arthropoda
206943, Animalia, Arthropoda
4483, Plantae, Angiosperms
762617, Animalia, Chordata
73327, Animalia, Chordata
48279, Animalia, Chordata
4485, Plantae, Angiosperms
312068, Animalia, Chordata
4493, Plantae, Angiosperms
4481, Plantae, Angiosperms
130456, Plantae, Angiosperms
1545397, Animalia, Mollusca
762613, Animalia, Chordata
103375, Animalia, Chordata
762568, Animalia, Chordata
126850, Animalia, Chordata
671282, Animalia, Chordata
4486, Plantae, Angiosperms
68527, Plantae, Angiosperms
8959, Animalia, Chordata
40902, Plantae, Angiosperms
191444, Animalia, Chordata
4487, Plantae, Angiosperms
4573, Plantae, Angiosperms
37682, Plantae, Angiosperms
175021, Animalia, Chordata
39391, Plantae, Angiosperms
200361, Plantae, Angiosperms
4491, Plantae, Angiosperms
4492, Plantae, Angiosperms
116981, Plantae, Angiosperms
321389, Animalia, Nematoda
96749, Animalia, Reptilia
232116, Animalia, Arthropoda
38134, Animalia, Arthropoda
257879, Animalia, Chordata
195873, Animalia, Mollusca
144567, Animalia, Arthropoda
30401, Animalia, Chordata
9897, Animalia, Chordata
38598, Animalia, Chordata
2716527, Animalia, Mollusca
100776, Animalia, Mollusca
172531, Animalia, Chordata
6100, Animalia, Cnidaria
344619, Animalia, Chordata
78694, Plantae, Angiosperms
190674, Animalia, Chordata
207699, Animalia, Chordata
12921, Animalia, Arthropoda
43364, Plantae, Angiosperms
43872, Plantae, Angiosperms
77227, Animalia, Chordata
434059, Plantae, Angiosperms
28685, Animalia, Chordata
40954, Plantae, Angiosperms
420948, Animalia, Chordata
72657, Plantae, Angiosperms
87140, Animalia, Chordata
202667, Plantae, Angiosperms
28699, Animalia, Chordata
28686, Animalia, Chordata
28687, Animalia, Chordata
327776, Animalia, Chordata
202778, Plantae, Angiosperms
116153, Animalia, Arthropoda
9076, Animalia, Chordata
56897, Plantae, Gymnosperms
421919, Animalia, Arthropoda
89882, Animalia, Cnidaria
175446, Animalia, Chordata
39511, Plantae, Angiosperms
51501, Plantae, Angiosperms
103336, Animalia, Chordata
82206, Plantae, Angiosperms
39510, Plantae, Angiosperms
75990, Animalia, Chordata
52208, Animalia, Chordata
58027, Plantae, Angiosperms
936046, Fungi, Basidiomycota
87249, Fungi, Basidiomycota
5341, Fungi, Basidiomycota
107770, Animalia, Arthropoda
59020, Plantae, Angiosperms
5343, Fungi, Basidiomycota
597362, Fungi, Basidiomycota
88128, Fungi, Basidiomycota
205702, Plantae, Angiosperms
2510777, Plantae, Algae
197464, Animalia, Chordata
56157, Fungi, Basidiomycota
60462, Animalia, Chordata
1585285, Animalia, Arthropoda
51427, Plantae, Angiosperms
105404, Protista, Other
60851, Plantae, Angiosperms
75988, Animalia, Chordata
60463, Animalia, Chordata
39269, Plantae, Angiosperms
165097, Animalia, Cnidaria
112803, Plantae, Angiosperms
367765, Animalia, Cnidaria
129731, Animalia, Chordata
317382, Animalia, Chordata
87251, Fungi, Basidiomycota
60464, Animalia, Chordata
39270, Plantae, Angiosperms
695500, Animalia, Chordata
60852, Plantae, Angiosperms
57373, Plantae, Angiosperms
60465, Animalia, Chordata
83693, Plantae, Angiosperms
205703, Plantae, Angiosperms
182818, Fungi, Basidiomycota
60466, Animalia, Chordata
175468, Animalia, Chordata
186128, Plantae, Angiosperms
60467, Animalia, Chordata
60854, Plantae, Angiosperms
60468, Animalia, Chordata
39271, Plantae, Angiosperms
105626, Animalia, Chordata
317303, Animalia, Chordata
87253, Fungi, Basidiomycota
60469, Animalia, Chordata
386106, Plantae, Angiosperms
1135959, Animalia, Chordata
83518, Fungi, Basidiomycota
131577, Animalia, Arthropoda
6908, Animalia, Arthropoda
102750, Plantae, Angiosperms
84835, Animalia, Chordata
313630, Animalia, Arthropoda
68299, Plantae, Angiosperms
295242, Animalia, Arthropoda
555143, Animalia, Chordata
295252, Animalia, Arthropoda
55598, Plantae, Angiosperms
84773, Animalia, Chordata
293813, Animalia, Arthropoda
39638, Animalia, Chordata
313352, Animalia, Arthropoda
2723817, Animalia, Arthropoda
555144, Animalia, Chordata
9191, Animalia, Chordata
2724002, Animalia, Arthropoda
84777, Animalia, Chordata
84778, Animalia, Chordata
8718, Animalia, Chordata
37195, Animalia, Chordata
2782195, Animalia, Chordata
8713, Animalia, Chordata
8716, Animalia, Chordata
459671, Animalia, Chordata
104712, Animalia, Annelida
56648, Animalia, Chordata
472768, Animalia, Chordata
171570, Animalia, Arthropoda
2765, Protista, Rhodophyta
193166, Protista, Rhodophyta
111881, Animalia, Arthropoda
106026, Plantae, Angiosperms
272002, Animalia, Arthropoda
29659, Plantae, Angiosperms
204232, Plantae, Angiosperms
40104, Animalia, Arthropoda
55055, Animalia, Arthropoda
4593, Plantae, Angiosperms
64608, Fungi, Basidiomycota
184613, Animalia, Arthropoda
84605, Fungi, Basidiomycota
414309, Animalia, Arthropoda
39848, Plantae, Angiosperms
56364, Animalia, Arthropoda
292458, Animalia, Arthropoda
555145, Animalia, Chordata
32217, Plantae, Angiosperms
224129, Animalia, Arthropoda
476655, Animalia, Arthropoda
989724, Animalia, Arthropoda
47767, Animalia, Arthropoda
63632, Plantae, Angiosperms
2795540, Animalia, Arthropoda
1005071, Other, Other
1140635, Other, Other
193128, Animalia, Chordata
2768810, Plantae, Angiosperms
9649, Animalia, Chordata
9646, Animalia, Chordata
165204, Animalia, Chordata
198934, Animalia, Chordata
8678, Animalia, Chordata
8832, Animalia, Chordata
8833, Animalia, Chordata
544711, Fungi, Ascomycota
5037, Fungi, Ascomycota
447093, Fungi, Ascomycota
544712, Fungi, Ascomycota
2059318, Fungi, Ascomycota
653446, Fungi, Ascomycota
5039, Fungi, Ascomycota
559297, Fungi, Ascomycota
49984, Plantae, Angiosperms
38596, Plantae, Angiosperms
19375, Animalia, Arthropoda
2231603, Fungi, Ascomycota
13331, Plantae, Angiosperms
3022, Animalia, Chordata
10070, Animalia, Chordata
230186, Animalia, Chordata
251311, Animalia, Chordata
29095, Animalia, Chordata
10072, Animalia, Chordata
291114, Animalia, Chordata
29096, Animalia, Chordata
291113, Animalia, Chordata
240584, Animalia, Chordata
291115, Animalia, Chordata
240588, Animalia, Chordata
10073, Animalia, Chordata
10074, Animalia, Chordata
106110, Animalia, Chordata
10076, Animalia, Chordata
10087, Animalia, Chordata
140761, Animalia, Chordata
106112, Animalia, Chordata
10075, Animalia, Chordata
106113, Animalia, Chordata
29099, Animalia, Chordata
230113, Animalia, Chordata
306435, Animalia, Chordata
230112, Animalia, Chordata
106114, Animalia, Chordata
29100, Animalia, Chordata
230187, Animalia, Chordata
10077, Animalia, Chordata
29101, Animalia, Chordata
10078, Animalia, Chordata
720635, Animalia, Arthropoda
88112, Animalia, Chordata
16897, Plantae, Angiosperms
2889, Protista, Stramenopiles
85048, Animalia, Mollusca
96911, Animalia, Mollusca
98221, Protista, Stramenopiles
82047, Plantae, Angiosperms
42349, Animalia, Mollusca
3813, Plantae, Angiosperms
199156, Plantae, Angiosperms
2890917, Animalia, Chordata
205705, Plantae, Angiosperms
27820, Animalia, Mollusca
1859699, Animalia, Arthropoda
9853, Animalia, Chordata
162953, Animalia, Chordata
714350, Animalia, Chordata
36245, Animalia, Chordata
59517, Animalia, Chordata
59520, Animalia, Chordata
28689, Animalia, Chordata
1069867, Animalia, Chordata
443748, Animalia, Chordata
167804, Animalia, Chordata
369574, Animalia, Mollusca
516969, Animalia, Mollusca
266942, Animalia, Arthropoda
641275, Animalia, Chordata
492023, Animalia, Chordata
179358, Animalia, Chordata
183001, Plantae, Angiosperms
492024, Animalia, Chordata
5188, Fungi, Ascomycota
134618, Animalia, Chordata
443629, Animalia, Chordata
2925, Protista, Dinoflagellata
9078, Animalia, Chordata
179359, Animalia, Chordata
1000661, Animalia, Arthropoda
2928, Protista, Dinoflagellata
173327, Animalia, Chordata
30099, Animalia, Arthropoda
167569, Plantae, Angiosperms
2932, Protista, Dinoflagellata
40178, Animalia, Chordata
81907, Animalia, Chordata
100900, Animalia, Chordata
39455, Protista, Dinoflagellata
212130, Animalia, Arthropoda
492027, Animalia, Chordata
798263, Animalia, Arthropoda
9079, Animalia, Chordata
46040, Plantae, Angiosperms
593793, Animalia, Arthropoda
2926, Protista, Dinoflagellata
170189, Animalia, Chordata
1655842, Animalia, Arthropoda
492028, Animalia, Chordata
364079, Animalia, Chordata
120010, Plantae, Angiosperms
402984, Animalia, Arthropoda
322457, Animalia, Arthropoda
662937, Animalia, Chordata
15000, Plantae, Angiosperms
1326985, Animalia, Arthropoda
981110, Animalia, Annelida
1094238, Animalia, Arthropoda
880429, Animalia, Annelida
33120, Plantae, Angiosperms
221454, Plantae, Angiosperms
115439, Plantae, Angiosperms
28691, Animalia, Chordata
64504, Fungi, Blastocladiomycota
52818, Plantae, Angiosperms
4679, Plantae, Angiosperms
28911, Plantae, Angiosperms
201005, Plantae, Angiosperms
290258, Plantae, Angiosperms
688501, Animalia, Arthropoda
92733, Animalia, Chordata
35875, Plantae, Angiosperms
406991, Plantae, Angiosperms
479881, Animalia, Chordata
221223, Plantae, Angiosperms
122398, Plantae, Angiosperms
100224, Animalia, Chordata
578462, Fungi, Blastocladiomycota
28583, Fungi, Blastocladiomycota
8496, Animalia, Chordata
181445, Animalia, Chordata
54135, Other, Other
414762, Animalia, Arthropoda
224139, Plantae, Angiosperms
29934, Animalia, Arthropoda
126270, Plantae, Angiosperms
4681, Plantae, Angiosperms
3586, Plantae, Angiosperms
147649, Animalia, Chordata
4682, Plantae, Angiosperms
217839, Plantae, Angiosperms
74900, Plantae, Angiosperms
435756, Plantae, Angiosperms
38654, Animalia, Chordata
147650, Animalia, Chordata
54069, Animalia, Mollusca
51951, Animalia, Chordata
207935, Plantae, Angiosperms
34307, Plantae, Angiosperms
3043103, Animalia, Chordata
4683, Plantae, Angiosperms
4684, Plantae, Angiosperms
83845, Plantae, Angiosperms
36602, Plantae, Angiosperms
38784, Plantae, Angiosperms
3517, Plantae, Angiosperms
3516, Plantae, Angiosperms
21015, Plantae, Angiosperms
3518, Plantae, Angiosperms
30382, Animalia, Chordata
979739, Animalia, Chordata
45385, Plantae, Angiosperms
30590, Animalia, Chordata
9502, Animalia, Chordata
117798, Plantae, Angiosperms
117800, Plantae, Angiosperms
182256, Animalia, Chordata
444139, Animalia, Chordata
4456, Plantae, Angiosperms
1155789, Plantae, Angiosperms
106274, Plantae, Angiosperms
2066572, Animalia, Arthropoda
81473, Plantae, Angiosperms
30589, Animalia, Chordata
182253, Animalia, Chordata
15304, Plantae, Angiosperms
121123, Animalia, Chordata
9503, Animalia, Chordata
34773, Animalia, Chordata
68860, Plantae, Angiosperms
58940, Plantae, Magnoliophyta
34199, Plantae, Angiosperms
7852, Animalia, Chordata
195663, Animalia, Arthropoda
195664, Animalia, Arthropoda
87356, Animalia, Arthropoda
199618, Plantae, Angiosperms
87358, Animalia, Arthropoda
29969, Animalia, Arthropoda
29970, Animalia, Arthropoda
27448, Animalia, Arthropoda
674293, Animalia, Arthropoda
331275, Animalia, Arthropoda
87359, Animalia, Arthropoda
29971, Animalia, Arthropoda
94327, Plantae, Angiosperms
54109, Animalia, Arthropoda
87361, Animalia, Arthropoda
426605, Animalia, Arthropoda
29972, Animalia, Arthropoda
199623, Plantae, Angiosperms
29974, Animalia, Arthropoda
29973, Animalia, Arthropoda
230707, Plantae, Angiosperms
29976, Animalia, Arthropoda
87363, Animalia, Arthropoda
29977, Animalia, Arthropoda
151042, Animalia, Arthropoda
87364, Animalia, Arthropoda
426604, Animalia, Arthropoda
525436, Animalia, Arthropoda
87365, Animalia, Arthropoda
97723, Plantae, Angiosperms
56742, Plantae, Angiosperms
71970, Plantae, Angiosperms
71825, Plantae, Angiosperms
71826, Plantae, Angiosperms
75983, Plantae, Angiosperms
5599, Fungi, Ascomycota
622360, Fungi, Ascomycota
119956, Fungi, Ascomycota
29001, Fungi, Ascomycota
213817, Plantae, Angiosperms
216837, Fungi, Ascomycota
34792, Animalia, Chordata
98316, Animalia, Chordata
145745, Plantae, Angiosperms
48100, Fungi, Ascomycota
303710, Animalia, Chordata
85161, Plantae, Angiosperms
56200, Animalia, Chordata
98103, Animalia, Arthropoda
214502, Animalia, Chordata
226036, Plantae, Angiosperms
97955, Animalia, Chordata
8443, Animalia, Chordata
184265, Plantae, Angiosperms
12930, Animalia, Chordata
60756, Animalia, Arthropoda
536885, Animalia, Arthropoda
51432, Plantae, Magnoliophyta
87325, Fungi, Basidiomycota
124761, Plantae, Angiosperms
75867, Animalia, Chordata
87326, Fungi, Basidiomycota
3567, Plantae, Angiosperms
2042712, Animalia, Arthropoda
145466, Animalia, Chordata
117272, Plantae, Angiosperms
1290859, Animalia, Chordata
262245, Fungi, Basidiomycota
151760, Animalia, Chordata
580329, Fungi, Basidiomycota
67708, Fungi, Basidiomycota
240022, Plantae, Angiosperms
28502, Plantae, Angiosperms
3565, Plantae, Angiosperms
164282, Animalia, Chordata
946122, Fungi, Basidiomycota
41956, Fungi, Basidiomycota
74111, Animalia, Chordata
698013, Animalia, Mollusca
235532, Fungi, Basidiomycota
151761, Animalia, Chordata
107608, Plantae, Angiosperms
67723, Fungi, Basidiomycota
1324310, Fungi, Basidiomycota
158579, Plantae, Angiosperms
107609, Plantae, Angiosperms
124763, Plantae, Angiosperms
580330, Fungi, Basidiomycota
63160, Animalia, Chordata
500611, Fungi, Basidiomycota
245707, Animalia, Chordata
63161, Animalia, Chordata
501721, Animalia, Chordata
124765, Plantae, Angiosperms
187413, Animalia, Chordata
29722, Plantae, Angiosperms
277990, Plantae, Angiosperms
57392, Animalia, Chordata
57393, Animalia, Chordata
56196, Plantae, Angiosperms
78357, Fungi, Basidiomycota
241585, Animalia, Chordata
372284, Animalia, Chordata
187148, Plantae, Angiosperms
6943, Animalia, Arthropoda
4212, Plantae, Angiosperms
219765, Animalia, Arthropoda
161766, Animalia, Chordata
43107, Animalia, Chordata
149628, Plantae, Angiosperms
38661, Animalia, Chordata
34607, Animalia, Arthropoda
51208, Animalia, Chordata
4215, Plantae, Angiosperms
1051904, Animalia, Chordata
909836, Animalia, Chordata
59636, Animalia, Chordata
34608, Animalia, Arthropoda
84791, Animalia, Chordata
9391, Animalia, Chordata
84812, Animalia, Chordata
315322, Animalia, Chordata
498363, Other, Other
8297, Animalia, Chordata
8298, Animalia, Chordata
1178221, Other, Other
9166, Animalia, Chordata
43114, Animalia, Chordata
8296, Animalia, Chordata
745234, Animalia, Chordata
43982, Fungi, Ascomycota
43111, Animalia, Chordata
34609, Animalia, Arthropoda
43115, Animalia, Chordata
251391, Animalia, Arthropoda
166732, Animalia, Chordata
390302, Animalia, Chordata
47525, Animalia, Chordata
29715, Plantae, Angiosperms
149407, Plantae, Angiosperms
386614, Animalia, Chordata
109273, Animalia, Chordata
1581419, Animalia, Arthropoda
586770, Animalia, Chordata
1144608, Plantae, Magnoliophyta
8306, Animalia, Chordata
13333, Plantae, Angiosperms
8304, Animalia, Chordata
8305, Animalia, Chordata
4214, Plantae, Angiosperms
375577, Animalia, Arthropoda
251400, Animalia, Arthropoda
34610, Animalia, Arthropoda
166729, Animalia, Chordata
8535, Animalia, Chordata
25625, Plantae, Gymnosperms
35968, Plantae, Angiosperms
66911, Animalia, Chordata
148033, Animalia, Arthropoda
560355, Animalia, Arthropoda
219545, Animalia, Chordata
66912, Animalia, Chordata
27778, Animalia, Chordata
38229, Animalia, Chordata
57635, Animalia, Mollusca
2015500, Animalia, Arthropoda
327958, Animalia, Chordata
7924, Animalia, Chordata
168052, Plantae, Angiosperms
648471, Animalia, Arthropoda
45487, Animalia, Chordata
258330, Animalia, Arthropoda
142640, Animalia, Chordata
45486, Animalia, Chordata
198935, Animalia, Chordata
9899, Animalia, Chordata
45488, Animalia, Chordata
371905, Animalia, Chordata
48026, Plantae, Angiosperms
135422, Animalia, Chordata
333676, Animalia, Chordata
152299, Plantae, Angiosperms
175716, Plantae, Angiosperms
1285437, Animalia, Chordata
325556, Animalia, Chordata
48131, Plantae, Angiosperms
199625, Plantae, Angiosperms
2109901, Protista, Amoebozoa
325557, Animalia, Chordata
1077530, Animalia, Chordata
78372, Plantae, Angiosperms
318551, Animalia, Chordata
167930, Animalia, Chordata
4881, Protista, Amoebozoa
174187, Plantae, Angiosperms
5775, Protista, Amoebozoa
5101, Plantae, Angiosperms
110104, Animalia, Chordata
175755, Plantae, Angiosperms
69456, Plantae, Angiosperms
120494, Animalia, Chordata
858711, Animalia, Chordata
476771, Animalia, Arthropoda
515815, Animalia, Mollusca
1197293, Animalia, Arthropoda
1232801, Animalia, Arthropoda
582868, Animalia, Chordata
198939, Animalia, Chordata
45679, Plantae, Angiosperms
2961, Protista, Dinoflagellata
493896, Animalia, Reptilia
61819, Animalia, Chordata
80970, Other, Other
178514, Animalia, Porifera
160601, Protista, Dinoflagellata
860918, Animalia, Arthropoda
637417, Animalia, Arthropoda
132429, Plantae, Angiosperms
1127133, Animalia, Nematoda
515817, Animalia, Mollusca
51823, Animalia, Chordata
2048265, Plantae, Angiosperms
